participant_id,task_id,completed,time_seconds,errors,assistance,severity,feedback,evidence_ref,tested_commit
U01,T1,,,,,,,,
U01,T2,,,,,,,,
U01,T3,,,,,,,,
U01,T4,,,,,,,,
U01,T5,,,,,,,,
U01,T6,,,,,,,,
U01,T7,,,,,,,,
U02,T1,,,,,,,,
U02,T2,,,,,,,,
U02,T3,,,,,,,,
U02,T4,,,,,,,,
U02,T5,,,,,,,,
U02,T6,,,,,,,,
U02,T7,,,,,,,,
U03,T1,,,,,,,,
U03,T2,,,,,,,,
U03,T3,,,,,,,,
U03,T4,,,,,,,,
U03,T5,,,,,,,,
U03,T6,,,,,,,,
U03,T7,,,,,,,,
U04,T1,,,,,,,,
U04,T2,,,,,,,,
U04,T3,,,,,,,,
U04,T4,,,,,,,,
U04,T5,,,,,,,,
U04,T6,,,,,,,,
U04,T7,,,,,,,,
U05,T1,,,,,,,,
U05,T2,,,,,,,,
U05,T3,,,,,,,,
U05,T4,,,,,,,,
U05,T5,,,,,,,,
U05,T6,,,,,,,,
U05,T7,,,,,,,,
